CMD-MIJAM,CMD-MIJAM-frequency,CMD-GMWI2,CMD-GMWI2-frequency,GMHI-MIJAM,GMHI-MIJAM-frequency,GMHI-GMWI2,GMHI-GMWI2-frequency
PWY-7234: inosine-5'-phosphate biosynthesis III,10,s__Butyricimonas_virosa,6,PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),10,s__Lactobacillus_gasseri,5
PWY-7235: superpathway of ubiquinol-6 biosynthesis (eukaryotic),10,s__Bifidobacterium_longum,6,PWY66-389: phytol degradation,10,s__Blautia_hydrogenotrophica,5
PWY-7279: aerobic respiration II (cytochrome c) (yeast),10,s__Allisonella_histaminiformans,6,PWY66-398: TCA cycle III (animals),10,s__Lachnospiraceae_bacterium_1_1_57FAA,5
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,10,s__Eubacterium_siraeum,6,PWY66-409: superpathway of purine nucleotide salvage,10,ALL-CHORISMATE-PWY: superpathway of chorismate metabolism,5
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",10,s__Anaerostipes_hadrus,6,s__Acidaminococcus_intestini,10,LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,5
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,10,s__Acidaminococcus_intestini,6,s__Akkermansia_muciniphila,10,PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,5
PWY-7316: dTDP-N-acetylviosamine biosynthesis,10,SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,6,s__Alistipes_finegoldii,10,s__Ruminococcus_gnavus,5
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,10,SO4ASSIM-PWY: sulfate reduction I (assimilatory),6,s__Alistipes_indistinctus,10,s__Parabacteroides_distasonis,5
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,10,s__Roseburia_intestinalis,6,s__Alistipes_putredinis,10,PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),5
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",10,s__Anaeromassilibacillus_sp_An250,6,s__Alistipes_senegalensis,10,PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),5
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",10,"PWY-7385: 1,3-propanediol biosynthesis (engineered)",6,s__Alistipes_shahii,10,s__Fusobacterium_varium,5
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",10,PWY-7204: pyridoxal 5'-phosphate salvage II (plants),6,s__Alistipes_sp_AP11,10,s__Paraprevotella_clara,5
PWY-7446: sulfoglycolysis,10,s__Phascolarctobacterium_faecium,6,s__Alistipes_sp_HGB5,10,s__Finegoldia_magna,5
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,10,PWY-6895: superpathway of thiamin diphosphate biosynthesis II,6,s__Anaerostipes_hadrus,10,s__Eubacterium_ramulus,5
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,10,s__Prevotella_corporis,6,s__Anaerotruncus_colihominis,10,PWY66-398: TCA cycle III (animals),5
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,10,s__Citrobacter_youngae,6,s__Bacteroidales_bacterium_ph8,10,s__Haemophilus_pittmaniae,5
PWY0-1338: polymyxin resistance,10,PWY-6628: superpathway of L-phenylalanine biosynthesis,6,s__Bacteroides_caccae,10,s__Bifidobacterium_animalis,5
PWY0-1533: methylphosphonate degradation I,10,PWY-6467: Kdo transfer to lipid IVA III (Chlamydia),6,s__Bacteroides_cellulosilyticus,10,s__Streptococcus_salivarius,5
PWY0-42: 2-methylcitrate cycle I,10,s__Harryflintia_acetispora,6,s__Bacteroides_clarus,10,s__Bacteroides_salyersiae,5
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),10,s__Fusobacterium_nucleatum,6,s__Bacteroides_coprocola,10,s__Bacteroides_massiliensis,5
PWY66-367: ketogenesis,10,P23-PWY: reductive TCA cycle I,6,s__Bacteroides_coprophilus,10,s__Prevotella_stercorea,5
PWY66-388: fatty acid &alpha;-oxidation III,10,s__Lactococcus_lactis,6,s__Bacteroides_dorei,10,s__Bifidobacterium_pseudocatenulatum,5
PWY66-398: TCA cycle III (animals),10,s__Roseburia_inulinivorans,6,s__Bacteroides_eggerthii,10,PWY-5899: superpathway of menaquinol-13 biosynthesis,5
PWY66-399: gluconeogenesis III,10,s__Ruminococcus_torques,6,s__Bacteroides_finegoldii,10,s__Actinomyces_odontolyticus,5
PWYG-321: mycolate biosynthesis,10,PWY-5180: toluene degradation I (aerobic) (via o-cresol),6,s__Bacteroides_fragilis,10,PWY-5198: factor 420 biosynthesis,5
PYRIDNUCSAL-PWY: NAD salvage pathway I,10,s__Ruminococcus_sp_CAG_579,6,s__Bacteroides_oleiciplenus,10,PWY-5415: catechol degradation I (meta-cleavage pathway),5
REDCITCYC: TCA cycle VIII (helicobacter),10,URDEGR-PWY: superpathway of allantoin degradation in plants,6,s__Bacteroides_ovatus,10,PWY-5705: allantoin degradation to glyoxylate III,5
RUMP-PWY: formaldehyde oxidation I,10,PWY-5692: allantoin degradation to glyoxylate II,6,s__Bacteroides_plebeius,10,P122-PWY: heterolactic fermentation,4
s__Absiella_dolichum,10,PWY-5754: 4-hydroxybenzoate biosynthesis I (eukaryotes),6,s__Bacteroides_salyersiae,10,PWY-5130: 2-oxobutanoate degradation I,4
s__Acidaminococcus_intestini,10,PWY-6415: L-ascorbate biosynthesis V,6,s__Bacteroides_sp_2_1_22,10,s__Megamonas_hypermegale,4
s__Actinomyces_odontolyticus,10,s__Streptococcus_vestibularis,6,s__Bacteroides_thetaiotaomicron,10,s__Coprococcus_eutactus,4
s__Actinomyces_oris,10,s__Streptococcus_mitis,6,s__Barnesiella_intestinihominis,10,s__Bacteroides_coprophilus,4
s__Actinomyces_sp_oral_taxon_448,10,"PWY-6992: 1,5-anhydrofructose degradation",6,s__Bifidobacterium_adolescentis,10,s__Veillonella_atypica,4
s__Adlercreutzia_equolifaciens,10,"PWY-7039: phosphatidate metabolism, as a signaling molecule",6,s__Bifidobacterium_angulatum,10,s__Gemella_morbillorum,4
s__Agathobaculum_butyriciproducens,10,PWY-6353: purine nucleotides degradation II (aerobic),6,s__Bifidobacterium_catenulatum,10,s__Catenibacterium_mitsuokai,4
s__Alistipes_finegoldii,10,PWY-5989: stearate biosynthesis II (bacteria and plants),6,s__Bifidobacterium_dentium,10,PWY-6859: all-trans-farnesol biosynthesis,4
s__Alistipes_inops,10,PWY-5675: nitrate reduction V (assimilatory),6,s__Bifidobacterium_longum,10,PWY-7196: superpathway of pyrimidine ribonucleosides salvage,4
s__Alistipes_onderdonkii,10,PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,6,s__Blautia_hydrogenotrophica,10,ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,4
s__Alistipes_putredinis,10,PWY0-42: 2-methylcitrate cycle I,6,s__Butyricimonas_synergistica,10,PWY-6549: L-glutamine biosynthesis III,4
s__Alistipes_shahii,10,PWY66-388: fatty acid &alpha;-oxidation III,6,s__candidate_division_TM7_single_cell_isolate_TM7c,10,s__Eubacterium_limosum,4
s__Alistipes_sp_An31A,10,PWY-5136: fatty acid &beta;-oxidation II (peroxisome),6,s__Catenibacterium_mitsuokai,10,s__Bifidobacterium_breve,4
s__Allisonella_histaminiformans,10,s__Bacteroides_dorei,6,s__Clostridium_bartlettii,10,PWY-4981: L-proline biosynthesis II (from arginine),4
s__Anaerobiospirillum_thomasii,10,s__Dialister_sp_CAG_357,6,s__Clostridium_bolteae,10,PWY-5101: L-isoleucine biosynthesis II,4
s__Anaeromassilibacillus_sp_An250,10,s__Megasphaera_sp_DISK_18,6,s__Clostridium_celatum,10,PWY-6113: superpathway of mycolate biosynthesis,4
s__Anaerostipes_caccae,10,s__Parabacteroides_johnsonii,6,s__Clostridium_citroniae,10,AEROBACTINSYN-PWY: aerobactin biosynthesis,4
s__Anaerostipes_hadrus,10,s__Neisseria_flavescens,6,s__Clostridium_hathewayi,10,PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),4
s__Anaerotruncus_colihominis,10,s__Bacteroides_sp_CAG_530,6,s__Clostridium_leptum,10,PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),4
s__Bacteroides_caccae,10,s__Lactobacillus_mucosae,6,s__Clostridium_methylpentosum,10,PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),4
s__Bacteroides_coagulans,10,s__Clostridium_citroniae,6,s__Clostridium_perfringens,10,s__Bacteroides_cellulosilyticus,4
s__Bacteroides_coprocola,10,s__Eubacterium_sulci,6,s__Collinsella_tanakaei,10,PWY-7399: methylphosphonate degradation II,4
s__Bacteroides_dorei,10,s__Bifidobacterium_angulatum,6,s__Coprococcus_catus,10,s__Desulfovibrio_piger,4
s__Bacteroides_eggerthii,10,"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",6,s__Coprococcus_comes,10,s__Collinsella_tanakaei,4
s__Bacteroides_fluxus,10,P562-PWY: myo-inositol degradation I,6,s__Coprococcus_sp_ART55_1,10,s__Ruminococcus_champanellensis,3
s__Bacteroides_fragilis,10,s__Prevotella_disiens,6,s__Desulfovibrio_desulfuricans,10,s__Dialister_succinatiphilus,3
s__Bacteroides_galacturonicus,10,s__Prevotella_copri,6,s__Dialister_invisus,10,s__Klebsiella_pneumoniae,3
s__Bacteroides_intestinalis,10,s__Eubacterium_sp_CAG_274,6,s__Dialister_succinatiphilus,10,s__Barnesiella_intestinihominis,3
s__Bacteroides_massiliensis,10,s__Bacteroides_xylanisolvens,5,s__Dorea_formicigenerans,10,PWY-6435: 4-hydroxybenzoate biosynthesis V,3
s__Bacteroides_ovatus,10,s__Coprobacter_secundus,5,s__Enterobacter_cloacae,10,s__Lachnospiraceae_bacterium_3_1_46FAA,3
s__Bacteroides_plebeius,10,PWY-5656: mannosylglycerate biosynthesis I,5,s__Enterococcus_faecalis,10,PWY-5747: 2-methylcitrate cycle II,3
s__Bacteroides_sp_CAG_530,10,LACTOSECAT-PWY: lactose and galactose degradation I,5,s__Erysipelotrichaceae_bacterium_5_2_54FAA,10,s__Lactobacillus_sanfranciscensis,3
s__Bacteroides_stercoris,10,PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,5,s__Erysipelotrichaceae_bacterium_6_1_45,10,CRNFORCAT-PWY: creatinine degradation I,3
s__Bacteroides_thetaiotaomicron,10,s__Enterococcus_faecium,5,s__Escherichia_coli,10,BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,3
s__Bacteroides_uniformis,10,"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",5,s__Eubacterium_cylindroides,10,s__Coprobacter_fastidiosus,3
s__Bacteroides_xylanisolvens,10,s__Phascolarctobacterium_succinatutens,5,s__Eubacterium_eligens,10,s__Gemella_sanguinis,3
s__Barnesiella_intestinihominis,10,s__Denitrobacterium_detoxificans,5,s__Eubacterium_limosum,10,P161-PWY: acetylene degradation,3
s__Bifidobacterium_adolescentis,10,s__Intestinimonas_butyriciproducens,5,s__Eubacterium_ramulus,10,PWY-6263: superpathway of menaquinol-8 biosynthesis II,3
s__Bifidobacterium_angulatum,10,PWY-6588: pyruvate fermentation to acetone,5,s__Eubacterium_rectale,10,GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,3
s__Bifidobacterium_bifidum,10,s__Prevotella_sp_CAG_520,5,s__Eubacterium_siraeum,10,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,3
s__Bifidobacterium_dentium,10,GLYCOCAT-PWY: glycogen degradation I (bacterial),5,s__Eubacterium_sp_3_1_31,10,s__Clostridium_asparagiforme,3
s__Bifidobacterium_longum,10,s__Bifidobacterium_pseudocatenulatum,5,s__Faecalibacterium_prausnitzii,10,s__Lactobacillus_ruminis,3
s__Bilophila_wadsworthia,10,s__Bacteroides_faecis,5,s__Finegoldia_magna,10,s__Actinomyces_graevenitzii,3
s__Blautia_coccoides,10,PWY-5181: toluene degradation III (aerobic) (via p-cresol),5,s__Fusobacterium_nucleatum,10,s__Rothia_dentocariosa,3
s__Blautia_obeum,10,PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),5,s__Fusobacterium_varium,10,PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),3
s__Blautia_producta,10,s__Slackia_isoflavoniconvertens,5,s__Gordonibacter_pamelaeae,10,s__Clostridiaceae_bacterium_JC118,2
s__Blautia_sp_An249,10,s__Porphyromonas_sp_HMSC065F10,5,s__Granulicatella_adiacens,10,PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III,2
s__Brachyspira_sp_CAG_700,10,"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",5,s__Haemophilus_parainfluenzae,10,PWY-5497: purine nucleobases degradation II (anaerobic),2
s__Butyricicoccus_pullicaecorum,10,P162-PWY: L-glutamate degradation V (via hydroxyglutarate),5,s__Haemophilus_pittmaniae,10,PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,2
s__Butyricimonas_synergistica,10,s__Victivallis_vadensis,5,s__Holdemania_filiformis,10,s__Paraprevotella_xylaniphila,2
s__Butyricimonas_virosa,10,s__Bacteroides_galacturonicus,5,s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,10,PWY-5004: superpathway of L-citrulline metabolism,2
s__Butyrivibrio_crossotus,10,s__Bacteroides_coagulans,5,s__Lachnospiraceae_bacterium_8_1_57FAA,10,s__Megasphaera_elsdenii,2
s__Butyrivibrio_sp_CAG_318,10,s__Butyrivibrio_crossotus,5,s__Lachnospiraceae_bacterium_9_1_43BFAA,10,s__Enterococcus_faecium,2
s__Candidatus_Methanomassiliicoccus_intestinalis,10,PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,5,s__Lactobacillus_acidophilus,10,s__Bifidobacterium_bifidum,2
s__Catabacter_hongkongensis,10,s__Ruminococcus_bicirculans,5,s__Lactobacillus_amylovorus,10,s__Streptococcus_tigurinus,2
s__Catenibacterium_mitsuokai,10,PWY-5705: allantoin degradation to glyoxylate III,5,s__Lactobacillus_delbrueckii,10,s__Haemophilus_sputorum,2
s__Christensenella_minuta,10,"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",5,s__Lactobacillus_mucosae,10,PWY0-321: phenylacetate degradation I (aerobic),2
s__Citrobacter_braakii,10,PWY-7446: sulfoglycolysis,5,s__Lactobacillus_reuteri,10,PWY-5675: nitrate reduction V (assimilatory),2
s__Citrobacter_youngae,10,s__Bacteroides_cellulosilyticus,5,s__Lactobacillus_ruminis,10,PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),2
s__Clostridium_bolteae_CAG_59,10,s__Clostridium_disporicum,5,s__Lactobacillus_salivarius,10,s__Actinomyces_turicensis,2
s__Clostridium_citroniae,10,s__Blautia_obeum,5,s__Lactococcus_lactis,10,s__Parabacteroides_merdae,2
s__Clostridium_innocuum,10,PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,5,s__Methanobrevibacter_smithii,10,PWY0-42: 2-methylcitrate cycle I,2
s__Clostridium_lavalense,10,HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,5,s__Odoribacter_laneus,10,PWY-7235: superpathway of ubiquinol-6 biosynthesis (eukaryotic),2
s__Clostridium_paraputrificum,10,s__Actinomyces_oris,4,s__Oxalobacter_formigenes,10,PWY-7254: TCA cycle VII (acetate-producers),2
s__Clostridium_sp_CAG_167,10,s__Lachnospira_pectinoschiza,4,s__Paraprevotella_clara,10,s__Enterococcus_faecalis,2
s__Clostridium_sp_CAG_242,10,s__Olsenella_scatoligenes,4,s__Parasutterella_excrementihominis,10,PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,1
s__Clostridium_sp_CAG_411,10,s__Bacteroides_caccae,4,s__Peptoniphilus_lacrimalis,10,s__Coprococcus_sp_ART55_1,1
s__Clostridium_sp_CAG_58,10,s__Clostridium_bolteae_CAG_59,4,s__Peptostreptococcus_stomatis,10,s__Erysipelotrichaceae_bacterium_3_1_53,1
s__Clostridium_sp_CAG_632,10,s__Fretibacterium_fastidiosum,4,s__Phascolarctobacterium_succinatutens,10,s__Collinsella_aerofaciens,1
s__Clostridium_sp_D5,10,s__Catenibacterium_mitsuokai,4,s__Porphyromonas_asaccharolytica,10,s__Lachnospiraceae_bacterium_6_1_63FAA,1
s__Clostridium_symbiosum,10,FAO-PWY: fatty acid &beta;-oxidation I,4,s__Prevotella_stercorea,10,s__Clostridium_nexile,1
s__Collinsella_intestinalis,10,URSIN-PWY: ureide biosynthesis,4,s__Prevotella_timonensis,10,POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,1
s__Collinsella_massiliensis,10,GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,4,s__Pseudoflavonifractor_capillosus,10,s__Anaerostipes_hadrus,1
s__Coprobacter_fastidiosus,10,s__Ruminococcus_bromii,4,s__Roseburia_inulinivorans,10,s__Clostridium_ramosum,1
s__Coprobacter_secundus,10,PWY-5088: L-glutamate degradation VIII (to propanoate),4,s__Rothia_mucilaginosa,10,s__Bifidobacterium_dentium,1
s__Coprococcus_catus,10,s__Veillonella_parvula,4,s__Ruminococcaceae_bacterium_D16,10,METHANOGENESIS-PWY: methanogenesis from H2 and CO2,1
s__Coprococcus_eutactus,10,s__Peptostreptococcus_stomatis,4,s__Ruminococcus_bromii,10,s__Escherichia_coli,1
s__Cutibacterium_acnes,10,THREOCAT-PWY: superpathway of L-threonine metabolism,4,s__Ruminococcus_callidus,10,PWY-7456: mannan degradation,1
s__Denitrobacterium_detoxificans,10,PWY-5004: superpathway of L-citrulline metabolism,4,s__Ruminococcus_champanellensis,10,s__Erysipelotrichaceae_bacterium_2_2_44A,1
s__Desulfovibrio_piger,10,s__Haemophilus_parainfluenzae,4,s__Solobacterium_moorei,10,PWY-6823: molybdenum cofactor biosynthesis,1
s__Dialister_invisus,10,s__Alistipes_finegoldii,4,s__Streptococcus_anginosus,10,s__Bacteroides_oleiciplenus,1
s__Dialister_pneumosintes,10,s__Firmicutes_bacterium_CAG_110,4,s__Streptococcus_gordonii,10,s__Alloscardovia_omnicolens,1
s__Dialister_sp_CAG_357,10,PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),4,s__Streptococcus_mitis_oralis_pneumoniae,10,s__Pseudoflavonifractor_capillosus,1
s__Dorea_longicatena,10,s__Desulfovibrio_piger,4,s__Streptococcus_parasanguinis,10,s__Ruminococcus_albus,1
s__Eisenbergiella_massiliensis,10,s__Clostridium_sp_CAG_167,4,s__Streptococcus_salivarius,10,s__Lactobacillus_delbrueckii,1
s__Enorma_massiliensis,10,s__Streptococcus_infantis,4,s__Streptococcus_thermophilus,10,"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",1
s__Enterococcus_faecalis,10,P441-PWY: superpathway of N-acetylneuraminate degradation,4,s__Streptococcus_vestibularis,10,"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",1
s__Enterococcus_faecium,10,s__Streptococcus_gordonii,4,s__Subdoligranulum_variabile,10,PWY-7446: sulfoglycolysis,1
s__Erysipelatoclostridium_ramosum,10,PWY-6531: mannitol cycle,3,s__Sutterella_wadsworthensis,10,THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes),1
s__Erysipelothrix_larvae,10,s__Rothia_mucilaginosa,3,s__Turicibacter_sanguinis,10,s__Clostridiales_bacterium_1_7_47FAA,1
s__Escherichia_coli,10,KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,3,s__Varibaculum_cambriense,10,s__Ruminococcus_lactaris,1
s__Eubacteriaceae_bacterium_CHKCI005,10,PWY-6549: L-glutamine biosynthesis III,3,s__Veillonella_atypica,10,PWY-5083: NAD/NADH phosphorylation and dephosphorylation,1
s__Eubacterium_hallii,10,s__Klebsiella_michiganensis,3,s__Veillonella_parvula,10,PWY-6922: L-N&delta;-acetylornithine biosynthesis,1
s__Eubacterium_rectale,10,PWY66-367: ketogenesis,3,"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)",9,PWY66-409: superpathway of purine nucleotide salvage,1
s__Eubacterium_siraeum,10,s__Megamonas_funiformis,3,CENTFERM-PWY: pyruvate fermentation to butanoate,9,s__Eubacterium_siraeum,1
s__Eubacterium_sp_CAG_180,10,PWY0-1297: superpathway of purine deoxyribonucleosides degradation,3,HEMESYN2-PWY: heme biosynthesis II (anaerobic),9,s__Flavonifractor_plautii,1
s__Eubacterium_sp_CAG_274,10,"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",3,P108-PWY: pyruvate fermentation to propanoate I,9,s__Lachnospiraceae_bacterium_1_4_56FAA,1
s__Eubacterium_sp_CAG_38,10,ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,3,PWY-1861: formaldehyde assimilation II (RuMP Cycle),9,s__Lactobacillus_amylovorus,1
s__Eubacterium_sulci,10,s__Gordonibacter_pamelaeae,3,PWY-5198: factor 420 biosynthesis II (mycobacteria),9,s__Roseburia_inulinivorans,1
s__Faecalitalea_cylindroides,10,PWY1G-0: mycothiol biosynthesis,3,PWY-5850: superpathway of menaquinol-6 biosynthesis I,9,s__Bacteroides_faecis,1
s__Finegoldia_magna,10,s__Clostridium_innocuum,3,PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes),9,,
s__Firmicutes_bacterium_CAG_110,10,PWY-7031: protein N-glycosylation (bacterial),3,PWY-6168: flavin biosynthesis III (fungi),9,,
s__Firmicutes_bacterium_CAG_145,10,s__Klebsiella_variicola,3,PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),9,,
s__Firmicutes_bacterium_CAG_238,10,s__Mogibacterium_diversum,3,PWY-6518: bile acids epimerization,9,,
s__Firmicutes_bacterium_CAG_424,10,PWY-7003: glycerol degradation to butanol,3,PWY-6606: guanosine nucleotides degradation II,9,,
s__Firmicutes_bacterium_CAG_534,10,FUCCAT-PWY: fucose degradation,3,PWY-6628: superpathway of L-phenylalanine biosynthesis,9,,
s__Firmicutes_bacterium_CAG_83,10,s__Actinomyces_sp_oral_taxon_181,3,PWY-6902: chitin degradation II (Vibrio),9,,
s__Firmicutes_bacterium_CAG_95,10,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),3,PWY-7315: dTDP-N-acetylthomosamine biosynthesis,9,,
s__Flavonifractor_plautii,10,s__Bacteroides_eggerthii,3,PWY-8112: factor 420 biosynthesis I (archaea),9,,
s__Fusicatenibacter_saccharivorans,10,s__Anaerotruncus_colihominis,3,PWY-822: fructan biosynthesis,9,,
s__Fusobacterium_mortiferum,10,s__Alistipes_inops,3,PWY0-1297: superpathway of purine deoxyribonucleosides degradation,9,,
s__Fusobacterium_nucleatum,10,"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",3,PWY0-1477: ethanolamine utilization,9,,
s__Gardnerella_vaginalis,10,PWY-5677: succinate fermentation to butanoate,3,PWY3O-4107: NAD salvage pathway V (PNC V cycle),9,,
s__Gemella_morbillorum,10,s__Actinomyces_sp_oral_taxon_448,3,PWY66-400: glycolysis VI (metazoan),9,,
s__Gemmiger_formicilis,10,s__Coprococcus_catus,3,RHAMCAT-PWY: L-rhamnose degradation I,9,,
s__Gordonibacter_pamelaeae,10,s__Dorea_longicatena,3,s__Actinomyces_graevenitzii,9,,
s__Harryflintia_acetispora,10,PWY-1861: formaldehyde assimilation II (RuMP Cycle),3,s__Actinomyces_odontolyticus,9,,
s__Holdemanella_biformis,10,PWY-6901: superpathway of glucose and xylose degradation,2,s__Bacteroides_sp_3_1_19,9,,
s__Holdemania_filiformis,10,s__Collinsella_intestinalis,2,s__Bifidobacterium_animalis,9,,
s__Hungatella_hathewayi,10,PWY-5392: reductive TCA cycle II,2,s__Bifidobacterium_breve,9,,
s__Intestinibacter_bartlettii,10,s__Anaerostipes_caccae,2,s__Bilophila_wadsworthia,9,,
s__Intestinimonas_butyriciproducens,10,PWY-6562: norspermidine biosynthesis,2,s__Enterococcus_durans,9,,
