CMD-MIJAM,CMD-MIJAM-frequency,CMD-GMWI2,CMD-GMWI2-frequency,GMHI-MIJAM,GMHI-MIJAM-frequency,GMHI-GMWI2,GMHI-GMWI2-frequency
s__Klebsiella_michiganensis,10,s__Bifidobacterium_catenulatum,2,s__Enterococcus_faecium,9,,
s__Lachnospira_pectinoschiza,10,s__Clostridium_leptum,2,s__Lachnospiraceae_bacterium_6_1_63FAA,9,,
s__Lactobacillus_fermentum,10,s__Alistipes_sp_An31A,2,s__Megamonas_funiformis,9,,
s__Lactobacillus_gasseri,10,s__Streptococcus_sanguinis,2,s__Morganella_morganii,9,,
s__Lactobacillus_mucosae,10,TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,2,s__Oscillibacter_sp_KLE_1745,9,,
s__Lactobacillus_paragasseri,10,PWY3O-1109: superpathway of 4-hydroxybenzoate biosynthesis (yeast),2,s__Parabacteroides_distasonis,9,,
s__Lactobacillus_rogosae,10,PWY0-1533: methylphosphonate degradation I,2,SALVADEHYPOX-PWY: adenosine nucleotides degradation II,9,,
s__Lactobacillus_ruminis,10,s__Collinsella_aerofaciens,2,SO4ASSIM-PWY: sulfate reduction I (assimilatory),9,,
s__Lactobacillus_salivarius,10,PWY-6823: molybdenum cofactor biosynthesis,2,UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,9,,
s__Lactonifactor_longoviformis,10,PWY-5920: superpathway of heme biosynthesis from glycine,2,"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",8,,
s__Lawsonibacter_asaccharolyticus,10,s__Bacteroides_intestinalis,2,P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),8,,
s__Leuconostoc_gelidum,10,s__Christensenella_minuta,2,PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,8,,
s__Leuconostoc_mesenteroides,10,"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",2,"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",8,,
s__Massiliomicrobiota_timonensis,10,s__Lactonifactor_longoviformis,2,PWY-3781: aerobic respiration I (cytochrome c),8,,
s__Megamonas_funiformis,10,PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,2,PWY-5004: superpathway of L-citrulline metabolism,8,,
s__Megasphaera_elsdenii,10,s__Blautia_sp_CAG_257,2,PWY-5022: 4-aminobutanoate degradation V,8,,
s__Megasphaera_sp_DISK_18,10,s__Clostridium_methylpentosum,2,PWY-5104: L-isoleucine biosynthesis IV,8,,
s__Megasphaera_sp_MJR8396C,10,s__Blautia_hydrogenotrophica,2,PWY-5918: superpathway of heme b biosynthesis from glutamate,8,,
s__Methanosphaera_stadtmanae,10,s__Klebsiella_pneumoniae,2,PWY-5972: stearate biosynthesis I (animals),8,,
s__Mogibacterium_diversum,10,PWY-5022: 4-aminobutanoate degradation V,2,PWY-5994: palmitate biosynthesis (type I fatty acid synthase),8,,
s__Monoglobus_pectinilyticus,10,s__Prevotella_sp_AM42_24,2,PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,8,,
s__Neisseria_flavescens,10,UNINTEGRATED,2,PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),8,,
s__Odoribacter_splanchnicus,10,UNMAPPED,2,PWY-6629: superpathway of L-tryptophan biosynthesis,8,,
s__Oscillibacter_sp_PC13,10,s__Oscillibacter_sp_PC13,1,PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),8,,
s__Parabacteroides_distasonis,10,s__Haemophilus_sp_HMSC71H05,1,"PWY-7456: &beta;-(1,4)-mannan degradation",8,,
s__Parabacteroides_gordonii,10,"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",1,PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,8,,
s__Parabacteroides_johnsonii,10,PWY-7294: xylose degradation IV,1,s__Adlercreutzia_equolifaciens,8,,
s__Parabacteroides_sp_CAG_409,10,s__Ruminococcaceae_bacterium_D5,1,s__Atopobium_parvulum,8,,
s__Parasutterella_excrementihominis,10,PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,1,s__Clostridium_asparagiforme,8,,
s__Parvimonas_micra,10,PWY-5863: superpathway of phylloquinol biosynthesis,1,s__Coprococcus_eutactus,8,,
s__Peptoniphilus_sp_HMSC062D09,10,s__Phascolarctobacterium_sp_CAG_266,1,s__Gemella_morbillorum,8,,
s__Phascolarctobacterium_sp_CAG_266,10,NAD-BIOSYNTHESIS-II: NAD salvage pathway II,1,s__Gemella_sanguinis,8,,
s__Phascolarctobacterium_succinatutens,10,s__Coprococcus_comes,1,s__Klebsiella_pneumoniae,8,,
s__Porphyromonas_asaccharolytica,10,s__Clostridium_sp_CAG_253,1,s__Lachnospiraceae_bacterium_1_1_57FAA,8,,
s__Porphyromonas_sp_HMSC065F10,10,s__Bacteroides_finegoldii,1,s__Lactobacillus_sanfranciscensis,8,,
s__Prevotella_buccalis,10,s__Eubacterium_ramulus,1,s__Parvimonas_micra,8,,
s__Prevotella_copri,10,s__Methanobrevibacter_smithii,1,s__Ruminococcus_gnavus,8,,
s__Prevotella_corporis,10,s__Coprobacter_fastidiosus,1,s__Streptococcus_mutans,8,,
s__Prevotella_disiens,10,P621-PWY: nylon-6 oligomer degradation,1,DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,7,,
s__Prevotella_sp_885,10,s__Actinomyces_graevenitzii,1,ENTBACSYN-PWY: enterobactin biosynthesis,7,,
s__Prevotella_sp_AM42_24,10,s__Bacteroides_thetaiotaomicron,1,ORNDEG-PWY: superpathway of ornithine degradation,7,,
s__Prevotella_sp_CAG_1092,10,s__Dorea_sp_CAG_317,1,PWY-3801: sucrose degradation II (sucrose synthase),7,,
s__Prevotella_sp_CAG_1185,10,s__Gemella_sanguinis,1,PWY-4041: &gamma;-glutamyl cycle,7,,
s__Prevotella_stercorea,10,PWY-101: photosynthesis light reactions,1,PWY-5415: catechol degradation I (meta-cleavage pathway),7,,
s__Propionibacterium_freudenreichii,10,PWY-5415: catechol degradation I (meta-cleavage pathway),1,PWY-5497: purine nucleobases degradation II (anaerobic),7,,
s__Proteobacteria_bacterium_CAG_139,10,GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),1,PWY-5677: succinate fermentation to butanoate,7,,
s__Romboutsia_ilealis,10,s__Streptococcus_anginosus_group,1,PWY-5918: superpathay of heme biosynthesis from glutamate,7,,
s__Roseburia_faecis,10,NAGLIPASYN-PWY: lipid IVA biosynthesis,1,PWY-5920: superpathway of heme biosynthesis from glycine,7,,
s__Roseburia_intestinalis,10,s__Blautia_hansenii,1,PWY-6174: mevalonate pathway II (archaea),7,,
s__Roseburia_inulinivorans,10,s__Veillonella_infantium,1,PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,7,,
s__Roseburia_sp_CAG_182,10,s__Peptoniphilus_lacrimalis,1,"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",7,,
s__Roseburia_sp_CAG_309,10,s__Clostridium_sp_CAG_413,1,PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast),7,,
s__Roseburia_sp_CAG_471,10,PWY-5265: peptidoglycan biosynthesis II (staphylococci),1,"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",7,,
s__Ruminococcus_bromii,10,PWY-7392: taxadiene biosynthesis (engineered),1,PWY0-1261: anhydromuropeptides recycling,7,,
s__Ruminococcus_gnavus,10,s__Ruminococcaceae_bacterium_D16,1,PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,7,,
s__Ruminococcus_lactaris,10,s__Eubacterium_limosum,1,PWY0-42: 2-methylcitrate cycle I,7,,
s__Ruminococcus_sp_CAG_403,10,PWY-7219: adenosine ribonucleotides de novo biosynthesis,1,PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),7,,
s__Ruminococcus_sp_CAG_579,10,PWY-6435: 4-hydroxybenzoate biosynthesis V,1,PWY66-388: ceramide degradation by &alpha;-oxidation,7,,
s__Ruminococcus_sp_CAG_624,10,PWYG-321: mycolate biosynthesis,1,s__Alloscardovia_omnicolens,7,,
s__Ruminococcus_torques,10,PWY-5971: palmitate biosynthesis II (bacteria and plants),1,s__Bacteroides_massiliensis,7,,
s__Sellimonas_intestinalis,10,s__Enorma_massiliensis,1,s__Bacteroides_pectinophilus,7,,
s__Slackia_isoflavoniconvertens,10,s__Eubacterium_dolichum_CAG_375,1,s__Eggerthella_lenta,7,,
s__Streptococcus_gordonii,10,s__Clostridium_paraputrificum,1,s__Lactobacillus_gasseri,7,,
s__Streptococcus_mitis,10,PWY3DJ-35471: L-ascorbate biosynthesis IV,1,s__Methanosphaera_stadtmanae,7,,
s__Streptococcus_oralis,10,s__Fusicatenibacter_saccharivorans,1,s__Prevotella_copri,7,,
s__Streptococcus_parasanguinis,10,s__Lactobacillus_rogosae,1,s__Ruminococcus_albus,7,,
s__Streptococcus_pasteurianus,10,s__Eubacterium_sp_CAG_251,1,s__Ruminococcus_torques,7,,
s__Streptococcus_salivarius,10,s__Firmicutes_bacterium_CAG_424,1,COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,6,,
s__Streptococcus_sanguinis,10,,,PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),6,,
s__Streptococcus_thermophilus,10,,,PWY-6145: superpathway of sialic acids and CMP-sialic acids biosynthesis,6,,
s__Streptococcus_vestibularis,10,,,PWY-6572: chondroitin sulfate degradation I (bacterial),6,,
s__Turicibacter_sanguinis,10,,,PWY-6596: adenosine nucleotides degradation I,6,,
s__Turicimonas_muris,10,,,PWY-6876: isopropanol biosynthesis (engineered),6,,
s__Tyzzerella_nexilis,10,,,"PWY-7013: L-1,2-propanediol degradation",6,,
s__Veillonella_atypica,10,,,PWY-7204: pyridoxal 5'-phosphate salvage II (plants),6,,
s__Veillonella_infantium,10,,,PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,6,,
s__Victivallis_vadensis,10,,,PWY-7446: sulfoglycolysis,6,,
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,10,,,PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6,,
THREOCAT-PWY: superpathway of L-threonine metabolism,10,,,PWY0-1296: purine ribonucleosides degradation,6,,
TRPSYN-PWY: L-tryptophan biosynthesis,10,,,PWY0-41: allantoin degradation IV (anaerobic),6,,
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,10,,,PWY66-367: ketogenesis,6,,
URSIN-PWY: ureide biosynthesis,10,,,s__Actinomyces_turicensis,6,,
FUCCAT-PWY: fucose degradation,9,,,s__Alistipes_onderdonkii,6,,
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,9,,,s__Bacteroides_faecis,6,,
GLYOXYLATE-BYPASS: glyoxylate cycle,9,,,s__Bacteroides_stercoris,6,,
HEMESYN2-PWY: heme biosynthesis II (anaerobic),9,,,s__Clostridiaceae_bacterium_JC118,6,,
KETOGLUCONMET-PWY: ketogluconate metabolism,9,,,s__Clostridium_nexile,6,,
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,9,,,s__Eubacterium_dolichum,6,,
PENTOSE-P-PWY: pentose phosphate pathway,9,,,s__Fusobacterium_gonidiaformans,6,,
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,9,,,s__Haemophilus_sputorum,6,,
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),9,,,s__Lachnospiraceae_bacterium_3_1_46FAA,6,,
PWY-5505: L-glutamate and L-glutamine biosynthesis,9,,,s__Streptococcus_constellatus,6,,
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,9,,,SO4ASSIM-PWY: assimilatory sulfate reduction I,6,,
PWY-5690: TCA cycle II (plants and fungi),9,,,NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),5,,
PWY-5754: 4-hydroxybenzoate biosynthesis I (eukaryotes),9,,,"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",5,,
PWY-6143: CMP-pseudaminate biosynthesis,9,,,POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,5,,
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),9,,,PWY-5100: pyruvate fermentation to acetate and lactate II,5,,
PWY-6565: superpathway of polyamine biosynthesis III,9,,,PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,5,,
PWY-6630: superpathway of L-tyrosine biosynthesis,9,,,PWY-8187: L-arginine degradation XIII (reductive Stickland reaction),5,,
PWY-6895: superpathway of thiamin diphosphate biosynthesis II,9,,,PWY0-862: (5Z)-dodecenoate biosynthesis I,5,,
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,9,,,s__Acidaminococcus_fermentans,5,,
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),9,,,s__Bifidobacterium_pseudocatenulatum,5,,
PWY-7560: methylerythritol phosphate pathway II,9,,,s__Clostridiales_bacterium_1_7_47FAA,5,,
PWY0-1296: purine ribonucleosides degradation,9,,,s__Clostridium_innocuum,5,,
PWY0-321: phenylacetate degradation I (aerobic),9,,,s__Clostridium_sp_L2_50,5,,
PWY3DJ-35471: L-ascorbate biosynthesis IV,9,,,s__Eubacterium_biforme,5,,
s__Actinobaculum_sp_oral_taxon_183,9,,,s__Eubacterium_ventriosum,5,,
s__Actinomyces_sp_oral_taxon_181,9,,,s__Megasphaera_elsdenii,5,,
s__Actinomyces_turicensis,9,,,SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I,5,,
s__Akkermansia_muciniphila,9,,,THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes),5,,
s__Anaerofustis_stercorihominis,9,,,AEROBACTINSYN-PWY: aerobactin biosynthesis,4,,
s__Bacteroides_faecis,9,,,ALL-CHORISMATE-PWY: superpathway of chorismate metabolism,4,,
s__Bacteroides_pectinophilus,9,,,GLUTORN-PWY: L-ornithine biosynthesis,4,,
s__Bifidobacterium_breve,9,,,GLYCOCAT-PWY: glycogen degradation I (bacterial),4,,
s__Bifidobacterium_catenulatum,9,,,HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),4,,
s__Blautia_hansenii,9,,,METH-ACETATE-PWY: methanogenesis from acetate,4,,
s__Cloacibacillus_porcorum,9,,,NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch),4,,
s__Clostridium_sp_CAG_413,9,,,P122-PWY: heterolactic fermentation,4,,
s__Comamonas_kerstersii,9,,,P161-PWY: acetylene degradation,4,,
s__Enterococcus_durans,9,,,PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),4,,
s__Eubacterium_eligens,9,,,PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis,4,,
s__Eubacterium_sp_CAG_251,9,,,PWY-4321: L-glutamate degradation IV,4,,
s__Firmicutes_bacterium_CAG_646,9,,,PWY-4981: L-proline biosynthesis II (from arginine),4,,
s__Haemophilus_parainfluenzae,9,,,PWY-5101: L-isoleucine biosynthesis II,4,,
s__Klebsiella_aerogenes,9,,,PWY-5417: catechol degradation III (ortho-cleavage pathway),4,,
s__Klebsiella_variicola,9,,,PWY-5431: aromatic compounds degradation via &beta;-ketoadipate,4,,
s__Lactobacillus_delbrueckii,9,,,"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",4,,
s__Lactobacillus_rhamnosus,9,,,PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,4,,
s__Lactobacillus_sakei,9,,,PWY-5871: ubiquinol-9 biosynthesis (eukaryotic),4,,
s__Peptostreptococcus_anaerobius,9,,,PWY-5873: ubiquinol-7 biosynthesis (eukaryotic),4,,
s__Peptostreptococcus_stomatis,9,,,PWY-5971: palmitate biosynthesis II (bacteria and plants),4,,
s__Ruminococcus_sp_CAG_488,9,,,PWY-6305: putrescine biosynthesis IV,4,,
s__Sanguibacteroides_justesenii,9,,,PWY-6519: 8-amino-7-oxononanoate biosynthesis I,4,,
s__Streptococcus_infantis,9,,,PWY-6531: mannitol cycle,4,,
s__Veillonella_parvula,9,,,PWY-6731: starch degradation III,4,,
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,9,,,PWY-6859: all-trans-farnesol biosynthesis,4,,
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,8,,,PWY-6897: thiamin salvage II,4,,
PWY-2723: trehalose degradation V,8,,,PWY-6901: superpathway of glucose and xylose degradation,4,,
PWY-5104: L-isoleucine biosynthesis IV,8,,,PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,4,,
PWY-5136: fatty acid &beta;-oxidation II (peroxisome),8,,,PWY-801: homocysteine and cysteine interconversion,4,,
PWY-5180: toluene degradation I (aerobic) (via o-cresol),8,,,PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),4,,
PWY-5417: catechol degradation III (ortho-cleavage pathway),8,,,PWY0-1533: methylphosphonate degradation I,4,,
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate,8,,,RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants),4,,
"PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",8,,,s__Bacteroides_vulgatus,4,,
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II,8,,,s__Bacteroides_xylanisolvens,4,,
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,8,,,s__Bifidobacterium_bifidum,4,,
PWY-5840: superpathway of menaquinol-7 biosynthesis,8,,,s__Clostridium_clostridioforme,4,,
PWY-5845: superpathway of menaquinol-9 biosynthesis,8,,,s__Coprobacter_fastidiosus,4,,
PWY-6167: flavin biosynthesis II (archaea),8,,,s__Eubacterium_brachy,4,,
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),8,,,s__Flavonifractor_plautii,4,,
"PWY-7237: myo-, chiro- and scillo-inositol degradation",8,,,s__Oscillibacter_sp_KLE_1728,4,,
PWY-7254: TCA cycle VII (acetate-producers),8,,,s__Pyramidobacter_piscolens,4,,
PWY-7294: xylose degradation IV,8,,,s__Roseburia_intestinalis,4,,
PWY0-41: allantoin degradation IV (anaerobic),8,,,s__Rothia_dentocariosa,4,,
PWY3O-1109: superpathway of 4-hydroxybenzoate biosynthesis (yeast),8,,,s__Ruminococcus_lactaris,4,,
s__Bacteroides_cellulosilyticus,8,,,s__Saccharomyces_cerevisiae,4,,
s__Bacteroides_faecis_CAG_32,8,,,ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),3,,
s__Bacteroides_finegoldii,8,,,P221-PWY: octane oxidation,3,,
s__Blautia_sp_CAG_257,8,,,PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle),3,,
s__Clostridium_disporicum,8,,,PWY-4702: phytate degradation I,3,,
s__Fretibacterium_fastidiosum,8,,,PWY-5005: biotin biosynthesis II,3,,
s__Gemella_sanguinis,8,,,"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",3,,
s__Klebsiella_pneumoniae,8,,,"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",3,,
s__Klebsiella_quasipneumoniae,8,,,PWY-5840: superpathway of menaquinol-7 biosynthesis,3,,
s__Lactobacillus_sanfranciscensis,8,,,PWY-5896: superpathway of menaquinol-10 biosynthesis,3,,
s__Oscillibacter_sp_57_20,8,,,PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),3,,
s__Peptoniphilus_lacrimalis,8,,,PWY-621: sucrose degradation III (sucrose invertase),3,,
s__Raoultella_ornithinolytica,8,,,PWY-6285: superpathway of fatty acids biosynthesis (E. coli),3,,
s__Rothia_mucilaginosa,8,,,"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",3,,
TYRFUMCAT-PWY: L-tyrosine degradation I,8,,,"PWY-6415: L-ascorbate biosynthesis V (euglena, D-galacturonate pathway)",3,,
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",7,,,PWY-6467: Kdo transfer to lipid IVA III (Chlamydia),3,,
FAO-PWY: fatty acid &beta;-oxidation I,7,,,PWY-6892: thiazole component of thiamine diphosphate biosynthesis I,3,,
METSYN-PWY: L-homoserine and L-methionine biosynthesis,7,,,PWY-6895: superpathway of thiamine diphosphate biosynthesis II,3,,
NAGLIPASYN-PWY: lipid IVA biosynthesis,7,,,PWY-6897: thiamine diphosphate salvage II,3,,
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),7,,,PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),3,,
P122-PWY: heterolactic fermentation,7,,,PWY-7400: L-arginine biosynthesis IV (archaebacteria),3,,
PWY-4702: phytate degradation I,7,,,PWY0-1061: superpathway of L-alanine biosynthesis,3,,
PWY-5028: L-histidine degradation II,7,,,s__Bacteroides_intestinalis,3,,
PWY-5265: peptidoglycan biosynthesis II (staphylococci),7,,,s__Bacteroides_nordii,3,,
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),7,,,s__Citrobacter_freundii,3,,
PWY-5392: reductive TCA cycle II,7,,,s__Desulfovibrio_piger,3,,
PWY-5692: allantoin degradation to glyoxylate II,7,,,s__Erysipelotrichaceae_bacterium_3_1_53,3,,
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),7,,,s__Klebsiella_oxytoca,3,,
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),7,,,s__Lachnospiraceae_bacterium_7_1_58FAA,3,,
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),7,,,s__Lactobacillus_fermentum,3,,
PWY-6165: chorismate biosynthesis II (archaea),7,,,s__Lactobacillus_vaginalis,3,,
PWY-6313: serotonin degradation,7,,,s__Megamonas_rupellensis,3,,
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",7,,,s__Odoribacter_splanchnicus,3,,
PWY-6353: purine nucleotides degradation II (aerobic),7,,,s__Parabacteroides_johnsonii,3,,
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast),7,,,s__Roseburia_hominis,3,,
PWY-7392: taxadiene biosynthesis (engineered),7,,,s__Ruminococcus_sp_JC304,3,,
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),7,,,s__Subdoligranulum_sp_4_3_54A2FAA,3,,
PWY0-1479: tRNA processing,7,,,TRPSYN-PWY: L-tryptophan biosynthesis,3,,
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,7,,,ARGININE-SYN4-PWY: L-ornithine biosynthesis II,2,,
PWY1G-0: mycothiol biosynthesis,7,,,HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent),2,,
PWY3O-355: stearate biosynthesis III (fungi),7,,,KETOGLUCONMET-PWY: ketogluconate metabolism,2,,
PWY66-389: phytol degradation,7,,,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),2,,
RHAMCAT-PWY: L-rhamnose degradation I,7,,,"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",2,,
s__Alistipes_timonensis,7,,,PWY-5028: L-histidine degradation II,2,,
s__Alloscardovia_omnicolens,7,,,"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",2,,
s__Asaccharobacter_celatus,7,,,"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",2,,
s__Bacteroides_sp_D2,7,,,PWY-5173: superpathway of acetyl-CoA biosynthesis,2,,
s__Clostridium_saccharolyticum,7,,,PWY-6165: chorismate biosynthesis II (archaea),2,,
s__Clostridium_spiroforme,7,,,PWY-6588: pyruvate fermentation to acetone,2,,
s__Enterorhabdus_caecimuris,7,,,PWY-6612: superpathway of tetrahydrofolate biosynthesis,2,,
s__Eubacterium_limosum,7,,,PWY-6807: xyloglucan degradation II (exoglucanase),2,,
s__Eubacterium_sp_OM08_24,7,,,PWY-6895: superpathway of thiamin diphosphate biosynthesis II,2,,
s__Gemella_haemolysans,7,,,PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,2,,
s__Lachnoclostridium_sp_An131,7,,,PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP,2,,
